FICE_CODE,UNIVERSITY_NAME
001605,CHAMINADE UNIV-HONOLULU
001606,BRIGHAM YOUNG UNIV-HAWAII
001610,U OF HAWAII-MANOA
001611,UNIV OF HAWAII AT HILO
001612,UNIV HI HONOLULU COMM COL
001613,UNIV OF HAWAII-KAPIOLANI
001614,UNIV OF HAWAII KAUAI CC
001615,UNIV HI MAUI COMM COLLEGE
001616,BOISE STATE UNIVERSITY
001617,ALBERTSON COLLEGE
001619,COLLEGE OF SOUTHERN IDAHO
001620,IDAHO STATE UNIVERSITY
001621,LEWIS-CLARK STATE COLLEGE
001623,NORTH IDAHO COLLEGE
001624,NORTHWEST NAZARENE UNIV
001625,BRIGHAM YOUNG UNIV-IDAHO
001626,UNIVERSITY OF IDAHO
001628,AMERICAN ACADEMY OF ART
001629,AMERICAN CONSERVATORY OF MUSIC
001633,AUGUSTANA COLLEGE
001634,AURORA UNIVERSITY
001635,BARAT COLLEGE
001636,SOUTHWESTERN IL COLLEGE
001638,BLACK HAWK COLLEGE
001639,BLACKBURN COLLEGE
001640,PRAIRIE STATE COLLEGE
001641,BRADLEY UNIVERSITY
001643,SPOON RIVER COLLEGE
001647,CITY COLLEGES OF CHICAGO
001648,CTY COLL CH HARRY S TRUMA
001649,CITY COLLEGE OF CHICAGO-RICHARD J DALEY COLLEGE
001650,CITY COLLEGES OF CHICAGO MALCOLM X
001652,CITY COLL. OF CHIC.-HAROL
001654,CTY COLL CH KENNEDY KING
001655,CTY COLL CH-WILBUR WRIGHT
001661,CHICAGO THEOLOGICAL SEMINARY
001663,SPERTUS COLLEGE JUDAICA
001664,UNIVERSITY OF ST FRANCIS
001665,COLUMBIA COLLEGE CHICAGO
001666,CONCORDIA UNIVERSITY
001669,DANVILLE AREA COMM. COLL.
001671,DEPAUL UNIVERSITY
001672,DEVRY UNIV OAK BROOK TER
001674,EASTERN IL UNIVERSITY
001675,ELGIN COMMUNITY COLLEGE
001676,ELMHURST COLLEGE
001678,EUREKA COLLEGE
001680,MONTAY COLLEGE
001681,HIGHLAND COMM COLL
001682,GARRETT-EVANGELICAL THEOL
001684,GREENVILLE COLLEGE
001685,HEBREW THEOLOGICAL COLLEGE
001688,ILLINOIS COLLEGE
001689,ILLINOIS COLLEGE OF OPTOMETRY
001690,DR WILLIAM SCHOLL COLLEGE OF PODIATRIC
001691,ILLINOIS INST OF TECH
001692,ILLINOIS STATE UNIVERSITY
001693,NORTHEASTERN IL UNIV
001694,CHICAGO STATE UNIVERSITY
001696,IL WESLEYAN UNIVERSITY
001698,JOHN MARSHALL LAW SCHOOL
001699,JOLIET JUNIOR COLLEGE
001700,JUDSON COLLEGE
001701,KASKASKIA COLLEGE
001703,KENDALL COLLEGE
001704,KNOX COLLEGE
001705,ILLINOIS VALLEY COMMUNITY COLLEGE
001706,LAKE FOREST COLLEGE
001707,LEWIS UNIVERSITY
001708,LINCOLN CHRISTIAN COLLEGE AND SEMINARY
001709,LINCOLN COLLEGE
001710,LOYOLA UNIVERSITY CHICAGO
001712,LUTHERAN SCHOOL OF THEOLOGY AT CHICAGO
001716,MACCORMAC COLLEGE
001717,MACMURRAY COLLEGE
001718,LOYOLA UNIVERSITY-MALLINCKRODT CAMPUS
001721,MCCORMICK THEOLOGICAL SEMINARY
001722,MCKENDREE COLLEGE
001723,MEADVILLE-LOMBARD THEOLOGICAL SCHOOL
001724,MILLIKIN UNIVERSITY
001725,MONMOUTH COLLEGE
001727,MOODY BIBLE INSTITUTE
001728,MORTON COLLEGE
001731,MUNDELEIN COLLEGE
001733,NATIONAL-LOUIS UNIVERSITY
001734,NORTH CENTRAL COLLEGE
001735,NORTH PARK UNIVERSITY
001736,NORTHERN BAPTIST THEOLOGICAL SEMINARY
001737,NORTHERN ILLINOIS UNIV
